country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ITA,Italy,Flume Santo,WRI1002884,640,40.8461,8.3068,Coal,,,,,EP Produzione,Association of Carbon Italy,https://web.archive.org/web/20140409012424/http://www.eon-italia.com/en/business/generation/power-plants/fiume-santo.html,https://web.archive.org/web/20140409012424/http://www.eon-italia.com/en/business/generation/power-plants/fiume-santo.html,,,,2306,,3509.176193
ITA,Italy,Foggia - X-Helio Solar Power Plant,WRI1026403,1,41.482,15.6087,Solar,,,,,,X-elio,http://www.x-elio.com,http://www.x-elio.com,,,,,,51.68331055
ITA,Italy,Fossano Solar Power Plant,WRI1026404,5,44.5725,7.7693,Solar,,,,1997,Enel Green Power SpA,OPDE,http://www.opde.net/en/projects/,http://www.opde.net/en/projects/,,,,,,258.4165527
ITA,Italy,GALLETO,WRI1002886,295,42.5427,12.7208,Hydro,,,,1997,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,,,,731,,1328.099293
ITA,Italy,GARGNANO,WRI1002888,137.2,45.6891,10.6609,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,,,,270,,617.6787222
ITA,Italy,GIRIFALCO,WRI1021841,14,40.48,16.8005,Solar,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,723.5663477
ITA,Italy,GISSI,WRI1002890,840,42.0502,14.5639,Gas,,,,1977,A2A,A2A,http://www.a2a.eu/en/plants_networks/thermoelectric/gissi/,http://www.a2a.eu/en/plants_networks/thermoelectric/gissi/,,,,642.3,,2039.24694
ITA,Italy,GROSIO,WRI1002891,655,46.286,10.2653,Hydro,,,,,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,,,,1381,,2948.830634
ITA,Italy,GUADALAMI C.LE,WRI1021309,80,37.9544,13.2808,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,360.1625202
ITA,Italy,Genuini Solar Power Plant,WRI1026405,1,40.0983,18.145,Solar,,,,,Gestamp Asetym Solar,9ren,http://www.9ren.it/en/about-us/where-we-operate/our-plants/item/183-genuini-eng,http://www.9ren.it/en/about-us/where-we-operate/our-plants/item/183-genuini-eng,,,,,,51.68331055
ITA,Italy,Giarratana Solar Power Plant,WRI1026406,2,37.0698,14.7895,Solar,,,,,Sunparking Pesaro Srl,Martifer Solar,http://www.martifersolar.com/powering.php,http://www.martifersolar.com/powering.php,,,,,,103.3666211
ITA,Italy,Guagnano Solar Power Plant,WRI1026407,2,40.4137,17.8847,Solar,,,,,,Immpex,http://www.immpex.de/projektdatenblatt/solar-italy/?L=1,http://www.immpex.de/projektdatenblatt/solar-italy/?L=1,,,,,,103.3666211
ITA,Italy,ISAB ENERGY,WRI1002894,521,37.1399,15.2158,Gas,,,,,,Siemens,http://www.energy.siemens.com/br/en/fossil-power-generation/power-plants/integrated-gasification-combined-cycle/integrated-gasification-combined-cycle.htm#content=References,http://www.energy.siemens.com/br/en/fossil-power-generation/power-plants/integrated-gasification-combined-cycle/integrated-gasification-combined-cycle.htm#content=References,,,,2602,,1264.818638
ITA,Italy,ISOLA SERAFINI,WRI1021316,76,45.0911,9.9052,Hydro,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,342.1543942
