country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
KEN,Kenya,Tana,WRI1000046,20,-0.7854,37.2654,Hydro,,,2011,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,,,,,109,84.31
KEN,Kenya,Thika,WRI1061223,88,1.0605,37.0508,Oil,,,2012,Thika Power Ltd,MAN Power plants,http://powerplants.man.eu/references/projects/thika-power-plant,WRI,,,,,70,271.525
KEN,Kenya,Turkwel,WRI1000047,106,1.9138,35.3443,Hydro,,,1990,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,WRI,,,,,426,446.842
MAR,Morocco,IMFOUT,WRI1023695,32,32.7256,-7.9266,Hydro,,,1947,Office National de lElectricite (ONE),GEODB,http://globalenergyobservatory.org/geoid/41651,GEODB,,,,,15.8,38.805
MAR,Morocco,LALLA TAKERKOUST,WRI1023696,8.8,31.355,-8.136,Hydro,,,1938,Office National de lElectricite (ONE),GEODB,http://globalenergyobservatory.org/geoid/41653,GEODB,,,,,8.7,10.671
MAR,Morocco,MANSOUR ED DAHBI,WRI1023697,10,30.9125,-6.76,Hydro,,,1973,Office National de lElectricite (ONE),GEODB,http://globalenergyobservatory.org/geoid/41650,GEODB,,,,,19.3,12.126
MAR,Morocco,MOHAMED V,WRI1023698,23,34.663,-2.9382,Hydro,,,1967,Office National de lElectricite (ONE),GEODB,http://globalenergyobservatory.org/geoid/41614,GEODB,,,,,41.9,27.891
MAR,Morocco,Oued El Makhazine,WRI1023700,36,34.9416,-5.8398,Hydro,,,1979,Office National de lElectricite (ONE),GEODB,http://globalenergyobservatory.org/geoid/41613,GEODB,,,,,13.7,43.655
NLD,Netherlands,Delfzijl Zuid,WRI1005303,78.2,53.33,6.9181,Wind,,,2008,Unknown,Wind Stats Netherlands,https://web.archive.org/web/20170818030302/http://www.windstats.nl:80/turbines.php,CARMA,,,,,167,234.084
NLD,Netherlands,EPZ,WRI1005313,24.05,51.4388,3.7035,Wind,,,2004,Unknown,Wind Stats Netherlands,https://web.archive.org/web/20170818030302/http://www.windstats.nl:80/turbines.php,GEODB,,,,,58,71.991
NLD,Netherlands,Egmond aan Zee,WRI1005312,108,52.6061,4.4188,Wind,,,2006,Unknown,Wind Stats Netherlands,https://web.archive.org/web/20170818030302/http://www.windstats.nl:80/turbines.php,WRI,,,,,297,323.288
NLD,Netherlands,Gemini,WRI1005330,600,54.036,5.963,Wind,,,2016,Unknown,Wind Stats Netherlands,https://web.archive.org/web/20170818030302/http://www.windstats.nl:80/turbines.php,WRI,,,,,2895,1796.044
NLD,Netherlands,Westereems,WRI1005474,213.3,53.4375,6.8613,Wind,,,2009,Unknown,Wind Stats Netherlands,https://web.archive.org/web/20170818030302/http://www.windstats.nl:80/turbines.php,WRI,,,,,554.7,638.493
NLD,Netherlands,Weststad Oosterhout,WRI1005476,15,51.645,4.8597,Wind,,,2008,Unknown,Wind Stats Netherlands,https://web.archive.org/web/20170818030302/http://www.windstats.nl:80/turbines.php,CARMA,,,,,32.4,44.901
ZAF,South Africa,Karoo Renewable Energy Facility (Nobelsfontein Wind),WRI1026019,73.8,-27.602,22.9201,Wind,,,2014,South African Renewable Green Energy,CDM,https://cdm.unfccc.int/filestorage/h/v/WJEK19MU3GNLTH562P0A7ZYQVDCIRS.pdf/PDD.pdf?t=eEN8b2pkNnp6fDDXvZVJYrHBHDoegHcnh7mQ,WRI,,,,,221,33.062
ZAF,South Africa,Khi Solar Power Plant,WRI1026048,50,-28.538,21.0777,Solar,,,,Abengoa Solar,Abengoa Solar,http://www.abengoasolar.com/web/en/plantas_solares/,Industry About,,,,,180,27.15
ZAF,South Africa,Konkoonsies Solar Power Plant,WRI1026049,11,-28.889,19.5553,Solar,,,2014,Juwi Renewable Energies (Pty) Ltd,Juwi,http://www.juwi.co.za/projects/,Industry About,,,,,22,5.973
VNM,Vietnam,A Luoi,WRI1030864,170,16.2266,107.2728,Hydro,,,2012,Central Hydro Power JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/a-luoi-hydropower,Open Development Vietnam,,,,,690,594.175
VNM,Vietnam,A Vuong,WRI1030859,210,15.7998,107.6171,Hydro,,,2008,A Vuong Hydro Power JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/a-vuong-hydropower,Open Development Vietnam,,,,,815,733.981
VNM,Vietnam,An Khe - Kanak,WRI1030828,173,14.0148,108.6796,Hydro,,,2009,An Khe  Ka Nak Hydro Power Company,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/an-khe-kanak-hydropower,Open Development Vietnam,,,,,700,604.66
VNM,Vietnam,Ba Thuoc 2,WRI1030880,80,20.321,105.3281,Hydro,,,2012,Hoang Anh Hydropower JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ba-thuoc-2-hydropower,Open Development Vietnam,,,,,400,279.612
VNM,Vietnam,Bac Binh,WRI1030752,33,11.3711,108.33,Hydro,,,2009,Viet Nam Hydro Power Development JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/bac-binh-hydropower,Open Development Vietnam,,,,,144.7,115.34
VNM,Vietnam,Ban Chat,WRI1030910,220,21.8612,103.8286,Hydro,,,2013,Vietnam Electricity (EVN),Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-chat-hydropower,Open Development Vietnam,,,,,770,768.932
VNM,Vietnam,Ban Coc,WRI1030875,18,19.6053,104.859,Hydro,,,2009,Que Phong Hydropower JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-coc-hydropower,Open Development Vietnam,,,,,80,62.913
VNM,Vietnam,Ban Ra,WRI1030938,18,22.859,106.6998,Hydro,,,2012,Dong Bac EL  JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/th-y-di-n-b-n-r,Open Development Vietnam,,,,,70,62.913
VNM,Vietnam,Ban Ve,WRI1030872,320,19.3404,104.4873,Hydro,,,2010,Vietnam Electricity (EVN),Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-ve-hydropower,Open Development Vietnam,,,,,1084,1118.447
VNM,Vietnam,Bu Ca Mau,WRI1030792,4,11.8713,106.9768,Hydro,,,2009,Cat Nam Trading  Services and Production Company Limited,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/bu-ca-mau-hydropower,Open Development Vietnam,,,,,12.5,13.981
VNM,Vietnam,Buon Kuop,WRI1030811,280,12.5305,107.9243,Hydro,,,2011,Vietnam Electricity (EVN),Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/buon-kuop-hydropower,Open Development Vietnam,,,,,1105,978.641
VNM,Vietnam,Buon Tua Srah,WRI1030808,86,12.2852,108.0383,Hydro,,,2009,Vietnam Electricity (EVN),Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/buon-tua-srah-hydropower,Open Development Vietnam,,,,,358.6,300.583
VNM,Vietnam,Ca Du,WRI1030946,2.6,15.2714,108.5186,Hydro,,,2005,Ca Du Hydro Power Constructing JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ca-du-hydropower,Open Development Vietnam,,,,,10,9.087
VNM,Vietnam,Can Don,WRI1030798,77,11.9689,106.8435,Hydro,,,2004,Song Da Group,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/can-don-hydropower,Open Development Vietnam,,,,,321,269.126
